"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Source","Do you mainly b..  [Play by myself]","Do you mainly b..  [Share with others]","On average, how.. ","What kind of co..  [Construction (e.. ]","What kind of co..  [Technical const.. ]","What kind of co..  [Mods or plugins]","What kind of co..  [Texture packs o.. ]","What kind of co..  [Entire Worlds]","What kind of co..  [I don't create .. ]","What kind of co..  [Other]","Have you ever b.. ","Would you consi.. ","Creating conten.. ","Creating conten.. ","I feel like I'm.. ","I feel a sense .. ","I feel a sense .. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I think creatin.. ","I learn new thi.. ","I gain experien.. ","I can improve m.. ","Creating conten.. ","I find the expe.. ","I find the expe.. ","I find the expe.. ","Creating conten.. ","I find the expe.. ","My content crea.. ","Creating conten.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I can forget ab.. ","I can get away .. ","I can get away .. ","Creating conten.. ","My content crea.. ","My content crea.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","I can show othe.. ","I can help othe.. ","I can let peopl.. ","My content crea.. ","My content crea.. ","I gain extra in.. ","I intend to con.. ","I would like to.. ","My intention is.. ","I will say posi.. ","I will recommen.. ","I will refer my.. ","I keep in touch.. ","I communicate w.. ","I keep in conta.. ","Creating conten.. ","I meet new peop.. ","I make new acqu.. ","In which countr.. ","How old are you?","Which gender do.. ","Which gender do..  [Other]","On average, how.. ","When did you st.. ","Last time I cre.. ","On average, how.. ","Total time","Group time: Step 1","Question time: SC","Question time: CC1","Question time: CC2","Question time: CC3","Question time: .. ","Question time: .. ","Group time: Step 2","Question time: PT1","Question time: PT2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 3","Question time: ID1","Question time: ID2","Question time: ID3","Question time: PA1","Question time: PA2","Question time: PA3","Group time: Step 4","Question time: SD1","Question time: SD2","Question time: SD3","Question time: SD4","Question time: PA4","Group time: Step 5","Question time: .. ","Question time: .. ","Question time: .. ","Question time: SE1","Question time: .. ","Question time: .. ","Group time: Step 6","Question time: SE3","Question time: .. ","Question time: SE5","Question time: SE4","Question time: SE2","Question time: SE6","Group time: Step 7","Question time: ES1","Question time: ES2","Question time: ES3","Question time: ES4","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 8","Question time: PT3","Question time: PT4","Group time: Step 9","Question time: HB1","Question time: HB2","Question time: HB3","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: CI1","Question time: CI3","Question time: CI2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: PD6","Question time: PD1","Question time: PD2","Question time: .. ","Question time: PD4","Question time: PD5","Question time: .. "
"1","2024-12-20 12:55:31","12","en","1439678203","2024-12-20 12:46:21","2024-12-20 12:55:31",,"","Yes","No","1","Yes","No","No","No","No","No","","Yes","No","4","4","4","4","2","1","1","1","1","1","1","1","1","1","2","1","3","4","2","1","4","1","5","1","1","3","2","1","4","2","4","4","1","1","2","3","4","4","2","1","1","1","1","3","4","2","4","1","2","4","5","3","3","1","1","Germany","20","Female","","0","2018-06-07 00:00:00","In the last 6 months","0","550.16","46.24",,,,,,,,,,,,,,,,,,,,"64.65",,,,,,,,,,,,,"86.1",,,,,,,"89.97",,,,,,,,,,,"82.61",,,,,,,"34.75",,,,,,,"53.64",,,,,,,"92.2",,,,,,,
"2","2024-12-20 14:57:02","12","en","2078930299","2024-12-20 14:50:06","2024-12-20 14:57:01",,"","Yes","No","1","Yes","No","No","No","No","No","","No","No","5","5","3","1","1","2","2","1","1","1","1","2","3","3","1","1","4","4","3","1","1","1","3","1","1","2","1","1","5","2","4","5","1","2","1","4","5","1","2","1","1","1","1","3","3","3","3","1","1","3","2","2","4","3","1","Germany ","20","Diverse","","0","2015-06-12 00:00:00","This week","0","415.97","44.85",,,,,,,,,,,,,"40.24",,,,,,,"64.98",,,,,,"26.46",,,,,,,"30.78",,,,,,,"61.05",,,,,,,,,,,"10.3",,,,,,,"22.37",,,,,,,"30.89",,,,,,,"84.05",,,,,,,
"3",,"0","en","2034688875","2024-12-20 15:00:52","2024-12-20 15:01:08",,"","Yes","No",,"No","No","No","No","No","No","","N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.18","16.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","2024-12-20 15:32:22","12","en","1051565966","2024-12-20 15:05:36","2024-12-20 15:32:22",,"","No","Yes","2","Yes","Yes","No","No","No","No","","Yes","Yes","5","5","4","4","4","2","2","4","3","1","2","2","4","2","3","1","4","5","4","3","5","1","4","1","3","3","3","3","5","1","2","4","1","2","2","5","5","4","3","3","1","1","1","5","4","3","5","4","4","4","4","4","4","2","2","Germany ","25","Male","","0","2011-05-17 00:00:00","This month","0","1609.67","1125.84",,,,,,,,,,,,,,,,,,,,,,,,,,"62.2",,,,,,,"64.68",,,,,,,"79.81",,,,,,,,"65.2",,,,,,,,,,"45.11",,,,,,,"88.45",,,,,,,"78.38",,,,,,,
"5","2024-12-20 17:07:14","12","en","1377865178","2024-12-20 16:57:52","2024-12-20 17:07:14",,"","Yes","No","10","No","No","No","No","No","Yes","","Yes","No","5","5","5","5","5","2","4","4","2","3","2","5","4","5","5","1","5","5","4","2","5","1","5","1","4","4","5","4","5","5","5","5","3","4","4","5","5","4","3","5","1","1","1","5","5","5","5","5","4","4","4","5","3","5","5","germany","17","Male","","0","2016-10-01 00:00:00","This month","0","562.65","37.72",,,,,,,,,,,,,"99.97",,,,,,,,,,,,,"136.41",,,,,,,,,,,,,,,,,,,,,,,,,"118.46",,,,,,,"33.21",,,,,,,"47.81",,,,,,,"89.07",,,,,,,
"6",,"2","en","1246746043","2024-12-20 17:02:58","2024-12-20 17:04:44",,"","No","Yes","2","Yes","No","No","No","No","No","","Yes","No",,"5","5",,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,"5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,"105.94","58.82",,,,,,,,,,,,,,,,,,,,,,,,,,"47.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","2024-12-20 18:16:40","12","en","1253757869","2024-12-20 18:07:52","2024-12-20 18:16:40",,"","Yes","No","15","No","No","No","No","No","Yes","","Yes","No","5","5","5","5","3","3","5","4","1","1","1","4","5","5","4","1","4","5","5","3","5","1","4","2","1","5","3","3","5","5","5","5","2","2","2","5","5","3","2","1","1","1","1","4","5","5","3","3","3","2","2","2","3","4","4","Germany","17","Male","","0","2018-08-14 00:00:00","Yesterday","0","529.36","87.59",,,,,,,"45.59",,,,,,"91.94",,,,,,,"17.32",,,,,,"18.32",,,,,,,,,,,,,,,,,,,,,,,,,"39.29",,,,,,,"50.87",,,,,,,"81.18",,,,,,,"97.26",,,,,,,
"8",,,"en","1752360640","2024-12-20 18:08:55","2024-12-20 18:08:55",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9",,,"en","2009554495","2024-12-20 18:30:02","2024-12-20 18:30:02",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10",,"1","en","1686596641","2024-12-20 20:14:16","2024-12-20 20:15:45",,"","No","Yes","30","No","No","No","No","Yes","No","","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88.57","88.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","2024-12-21 16:35:59","12","en","1184188716","2024-12-21 16:05:36","2024-12-21 16:35:59",,"","Yes","No","1","No","No","No","No","No","Yes","","No","No","4","4","3","4","3","3","4","3","3","3","2","4","4","4","3","2","4","4","3","2","4","1","4","1","3","4","4","4","4","4","4","5","1","2","3","4","5","3","3","3","1","1","1","4","4","4","4","3","2","4","3","3","3","2","4","Germany ","17","Female","","0","2021-02-25 00:00:00","In the last 6 months","0","1827.18","272.1",,,,,,,,,,,,,,,,,,,,,,,,,,"67.53",,,,,,,"46.07",,,,,,,"112.82",,,,,,,,,,,"164.88",,,,,,,"56.32",,,,,,,"89.82",,,,,,,"1017.64",,,,,,,
